bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
0,-12.181254346275065,-11.207828667631707,-11.37606478592881,0.6317552267637767,3710,dx,1,TT,unweighted
1,-11.207828667631707,-10.980548609474782,-11.090484107925846,0.4313565061668791,3706,dx,1,TT,unweighted
2,-10.980548609474782,-10.788405207690138,-10.885768709289078,0.3478290018589964,3718,dx,1,TT,unweighted
3,-10.788405207690138,-10.626385769832822,-10.702646511820571,0.2646605894904592,3709,dx,1,TT,unweighted
4,-10.626385769832822,-10.491988829193804,-10.557747008373676,0.1843682554183683,3701,dx,1,TT,unweighted
5,-10.491988829193804,-10.37461125256336,-10.430795769446371,0.1001355268693515,3719,dx,1,TT,unweighted
6,-10.37461125256336,-10.265879845210724,-10.319402067702468,0.03481036654014065,3708,dx,1,TT,unweighted
7,-10.265879845210724,-10.162060162824435,-10.213199587383286,-0.00498420124536905,3716,dx,1,TT,unweighted
8,-10.162060162824435,-10.059801214586257,-10.112548291637587,-0.0019302184425562,3709,dx,1,TT,unweighted
9,-10.059801214586257,-9.957319323621874,-10.008931052930862,-0.08201218673470739,3712,dx,1,TT,unweighted
10,-9.957319323621874,-9.843252484957032,-9.901055335150536,-0.1111553588814402,3711,dx,1,TT,unweighted
11,-9.843252484957032,-9.72114106863108,-9.780449286333084,-0.1469404584131872,3713,dx,1,TT,unweighted
12,-9.72114106863108,-9.59732047300703,-9.661090811410036,-0.1299872097985996,3711,dx,1,TT,unweighted
13,-9.59732047300703,-9.461926499746305,-9.52876044106454,-0.1276613886687609,3711,dx,1,TT,unweighted
14,-9.461926499746305,-9.315628194858398,-9.390578662575669,-0.1393131168304648,3707,dx,1,TT,unweighted
15,-9.315628194858398,-9.13634808803837,-9.228276262019984,-0.1884327264761163,3714,dx,1,TT,unweighted
16,-9.13634808803837,-8.907866311136049,-9.02988492488236,-0.2083777091018586,3711,dx,1,TT,unweighted
17,-8.907866311136049,-8.57403085994758,-8.76351151033816,-0.20053594014431025,3712,dx,1,TT,unweighted
18,-8.57403085994758,-8.008431406032207,-8.341995137230025,-0.196864619626881,3711,dx,1,TT,unweighted
19,-8.008431406032207,-3.039465617682323,-7.412623997359198,-0.16470541839203795,3712,dx,1,TT,unweighted
0,-12.181254346275065,-11.207828667631707,-11.37606478592881,0.27640690923647493,3710,resid_OU_linear,1,TT,unweighted
1,-11.207828667631707,-10.980548609474782,-11.090484107925846,0.15083140677372614,3706,resid_OU_linear,1,TT,unweighted
2,-10.980548609474782,-10.788405207690138,-10.885768709289078,0.1117445618897197,3718,resid_OU_linear,1,TT,unweighted
3,-10.788405207690138,-10.626385769832822,-10.702646511820571,0.0698098618990936,3709,resid_OU_linear,1,TT,unweighted
4,-10.626385769832822,-10.491988829193804,-10.557747008373676,0.02035889471424479,3701,resid_OU_linear,1,TT,unweighted
5,-10.491988829193804,-10.37461125256336,-10.430795769446371,-0.03440035367941713,3719,resid_OU_linear,1,TT,unweighted
